,power,scenario,key,val
0,ENG,All_dip_Fra_Eng,1,9.0
1,AUS,All_dip_Fra_Eng,1,3.0
2,ITA,All_dip_Fra_Eng,1,9.0
3,FRA,All_dip_Fra_Eng,1,20.0
4,GER,All_dip_Fra_Eng,1,9.0
5,RUS,All_dip_Fra_Eng,1,9.0
6,TUR,All_dip_Fra_Eng,1,8.0
7,ENG,All_dip_Fra_Eng,2,2.0
8,AUS,All_dip_Fra_Eng,2,0.0
9,ITA,All_dip_Fra_Eng,2,3.0
10,FRA,All_dip_Fra_Eng,2,11.0
11,GER,All_dip_Fra_Eng,2,2.0
12,RUS,All_dip_Fra_Eng,2,2.0
13,TUR,All_dip_Fra_Eng,2,0.0
14,ENG,All_dip_Fra_Eng,3,7.0
15,AUS,All_dip_Fra_Eng,3,3.0
16,ITA,All_dip_Fra_Eng,3,6.0
17,FRA,All_dip_Fra_Eng,3,9.0
18,GER,All_dip_Fra_Eng,3,7.0
19,RUS,All_dip_Fra_Eng,3,7.0
20,TUR,All_dip_Fra_Eng,3,8.0
21,ENG,All_dip_Fra_Eng,4,19.0
22,AUS,All_dip_Fra_Eng,4,0.0
23,ITA,All_dip_Fra_Eng,4,21.0
24,FRA,All_dip_Fra_Eng,4,16.454545454545453
25,GER,All_dip_Fra_Eng,4,15.5
26,RUS,All_dip_Fra_Eng,4,37.0
27,TUR,All_dip_Fra_Eng,4,0.0
28,ENG,All_dip_Fra_Eng,5,100.0
29,AUS,All_dip_Fra_Eng,5,100.0
30,ITA,All_dip_Fra_Eng,5,100.0
31,FRA,All_dip_Fra_Eng,5,100.0
32,GER,All_dip_Fra_Eng,5,100.0
33,RUS,All_dip_Fra_Eng,5,100.0
34,TUR,All_dip_Fra_Eng,5,100.0
