,power,scenario,key,val
0,ENG,All_dip_np,1,25.0
1,AUS,All_dip_np,1,17.0
2,ITA,All_dip_np,1,32.0
3,FRA,All_dip_np,1,56.0
4,GER,All_dip_np,1,48.0
5,RUS,All_dip_np,1,33.0
6,TUR,All_dip_np,1,39.0
7,ENG,All_dip_np,2,3.0
8,AUS,All_dip_np,2,0.0
9,ITA,All_dip_np,2,5.0
10,FRA,All_dip_np,2,24.0
11,GER,All_dip_np,2,22.0
12,RUS,All_dip_np,2,5.0
13,TUR,All_dip_np,2,8.0
14,ENG,All_dip_np,3,22.0
15,AUS,All_dip_np,3,17.0
16,ITA,All_dip_np,3,27.0
17,FRA,All_dip_np,3,32.0
18,GER,All_dip_np,3,26.0
19,RUS,All_dip_np,3,28.0
20,TUR,All_dip_np,3,31.0
21,ENG,All_dip_np,4,16.333333333333332
22,AUS,All_dip_np,4,0.0
23,ITA,All_dip_np,4,15.0
24,FRA,All_dip_np,4,17.791666666666668
25,GER,All_dip_np,4,19.136363636363637
26,RUS,All_dip_np,4,26.4
27,TUR,All_dip_np,4,17.0
28,ENG,All_dip_np,5,100.0
29,AUS,All_dip_np,5,100.0
30,ITA,All_dip_np,5,100.0
31,FRA,All_dip_np,5,100.0
32,GER,All_dip_np,5,100.0
33,RUS,All_dip_np,5,100.0
34,TUR,All_dip_np,5,100.0
35,ENG,All_dip_Ger_Ita,1,22.0
36,AUS,All_dip_Ger_Ita,1,9.0
37,ITA,All_dip_Ger_Ita,1,22.0
38,FRA,All_dip_Ger_Ita,1,48.0
39,GER,All_dip_Ger_Ita,1,26.0
40,RUS,All_dip_Ger_Ita,1,40.0
41,TUR,All_dip_Ger_Ita,1,41.0
42,ENG,All_dip_Ger_Ita,2,2.0
43,AUS,All_dip_Ger_Ita,2,2.0
44,ITA,All_dip_Ger_Ita,2,5.0
45,FRA,All_dip_Ger_Ita,2,29.0
46,GER,All_dip_Ger_Ita,2,4.0
47,RUS,All_dip_Ger_Ita,2,16.0
48,TUR,All_dip_Ger_Ita,2,15.0
