,power,scenario,key,val
0,ENG,Dip_Aus_Ita_LSP,1,1.0
1,AUS,Dip_Aus_Ita_LSP,1,0.0
2,ITA,Dip_Aus_Ita_LSP,1,0.0
3,FRA,Dip_Aus_Ita_LSP,1,1.0
4,GER,Dip_Aus_Ita_LSP,1,1.0
5,RUS,Dip_Aus_Ita_LSP,1,1.0
6,TUR,Dip_Aus_Ita_LSP,1,1.0
7,ENG,Dip_Aus_Ita_LSP,2,1.0
8,AUS,Dip_Aus_Ita_LSP,2,0.0
9,ITA,Dip_Aus_Ita_LSP,2,0.0
10,FRA,Dip_Aus_Ita_LSP,2,1.0
11,GER,Dip_Aus_Ita_LSP,2,1.0
12,RUS,Dip_Aus_Ita_LSP,2,1.0
13,TUR,Dip_Aus_Ita_LSP,2,1.0
14,ENG,Dip_Aus_Ita_LSP,3,0.0
15,AUS,Dip_Aus_Ita_LSP,3,0.0
16,ITA,Dip_Aus_Ita_LSP,3,0.0
17,FRA,Dip_Aus_Ita_LSP,3,0.0
18,GER,Dip_Aus_Ita_LSP,3,0.0
19,RUS,Dip_Aus_Ita_LSP,3,0.0
20,TUR,Dip_Aus_Ita_LSP,3,0.0
21,ENG,Dip_Aus_Ita_LSP,4,32.0
22,AUS,Dip_Aus_Ita_LSP,4,0.0
23,ITA,Dip_Aus_Ita_LSP,4,0.0
24,FRA,Dip_Aus_Ita_LSP,4,17.0
25,GER,Dip_Aus_Ita_LSP,4,15.0
26,RUS,Dip_Aus_Ita_LSP,4,17.0
27,TUR,Dip_Aus_Ita_LSP,4,12.0
28,ENG,Dip_Aus_Ita_LSP,5,0.0
29,AUS,Dip_Aus_Ita_LSP,5,0.0
30,ITA,Dip_Aus_Ita_LSP,5,0.0
31,FRA,Dip_Aus_Ita_LSP,5,0.0
32,GER,Dip_Aus_Ita_LSP,5,0.0
33,RUS,Dip_Aus_Ita_LSP,5,0.0
34,TUR,Dip_Aus_Ita_LSP,5,0.0
