,power,scenario,key,val
0,ENG,All_dip_Aus_Ita,1,7.0
1,AUS,All_dip_Aus_Ita,1,6.0
2,ITA,All_dip_Aus_Ita,1,10.0
3,FRA,All_dip_Aus_Ita,1,18.0
4,GER,All_dip_Aus_Ita,1,10.0
5,RUS,All_dip_Aus_Ita,1,10.0
6,TUR,All_dip_Aus_Ita,1,11.0
7,ENG,All_dip_Aus_Ita,2,0.0
8,AUS,All_dip_Aus_Ita,2,1.0
9,ITA,All_dip_Aus_Ita,2,3.0
10,FRA,All_dip_Aus_Ita,2,11.0
11,GER,All_dip_Aus_Ita,2,3.0
12,RUS,All_dip_Aus_Ita,2,1.0
13,TUR,All_dip_Aus_Ita,2,2.0
14,ENG,All_dip_Aus_Ita,3,7.0
15,AUS,All_dip_Aus_Ita,3,5.0
16,ITA,All_dip_Aus_Ita,3,7.0
17,FRA,All_dip_Aus_Ita,3,7.0
18,GER,All_dip_Aus_Ita,3,7.0
19,RUS,All_dip_Aus_Ita,3,9.0
20,TUR,All_dip_Aus_Ita,3,9.0
21,ENG,All_dip_Aus_Ita,4,0.0
22,AUS,All_dip_Aus_Ita,4,12.0
23,ITA,All_dip_Aus_Ita,4,15.0
24,FRA,All_dip_Aus_Ita,4,21.818181818181817
25,GER,All_dip_Aus_Ita,4,33.333333333333336
26,RUS,All_dip_Aus_Ita,4,11.0
27,TUR,All_dip_Aus_Ita,4,16.0
28,ENG,All_dip_Aus_Ita,5,100.0
29,AUS,All_dip_Aus_Ita,5,100.0
30,ITA,All_dip_Aus_Ita,5,100.0
31,FRA,All_dip_Aus_Ita,5,100.0
32,GER,All_dip_Aus_Ita,5,100.0
33,RUS,All_dip_Aus_Ita,5,100.0
34,TUR,All_dip_Aus_Ita,5,100.0
