,power,scenario,key,val
0,ENG,All_dip_Eng_Fra,1,5.0
1,AUS,All_dip_Eng_Fra,1,3.0
2,ITA,All_dip_Eng_Fra,1,6.0
3,FRA,All_dip_Eng_Fra,1,9.0
4,GER,All_dip_Eng_Fra,1,13.0
5,RUS,All_dip_Eng_Fra,1,9.0
6,TUR,All_dip_Eng_Fra,1,8.0
7,ENG,All_dip_Eng_Fra,2,1.0
8,AUS,All_dip_Eng_Fra,2,2.0
9,ITA,All_dip_Eng_Fra,2,3.0
10,FRA,All_dip_Eng_Fra,2,5.0
11,GER,All_dip_Eng_Fra,2,8.0
12,RUS,All_dip_Eng_Fra,2,3.0
13,TUR,All_dip_Eng_Fra,2,2.0
14,ENG,All_dip_Eng_Fra,3,4.0
15,AUS,All_dip_Eng_Fra,3,1.0
16,ITA,All_dip_Eng_Fra,3,3.0
17,FRA,All_dip_Eng_Fra,3,4.0
18,GER,All_dip_Eng_Fra,3,5.0
19,RUS,All_dip_Eng_Fra,3,6.0
20,TUR,All_dip_Eng_Fra,3,6.0
21,ENG,All_dip_Eng_Fra,4,21.0
22,AUS,All_dip_Eng_Fra,4,15.0
23,ITA,All_dip_Eng_Fra,4,18.666666666666668
24,FRA,All_dip_Eng_Fra,4,15.2
25,GER,All_dip_Eng_Fra,4,13.375
26,RUS,All_dip_Eng_Fra,4,8.0
27,TUR,All_dip_Eng_Fra,4,16.5
28,ENG,All_dip_Eng_Fra,5,100.0
29,AUS,All_dip_Eng_Fra,5,100.0
30,ITA,All_dip_Eng_Fra,5,100.0
31,FRA,All_dip_Eng_Fra,5,100.0
32,GER,All_dip_Eng_Fra,5,100.0
33,RUS,All_dip_Eng_Fra,5,100.0
34,TUR,All_dip_Eng_Fra,5,100.0
