,power,scenario,key,val
0,ENG,All_dip_Ger_Ita,1,6.0
1,AUS,All_dip_Ger_Ita,1,3.0
2,ITA,All_dip_Ger_Ita,1,3.0
3,FRA,All_dip_Ger_Ita,1,14.0
4,GER,All_dip_Ger_Ita,1,13.0
5,RUS,All_dip_Ger_Ita,1,11.0
6,TUR,All_dip_Ger_Ita,1,7.0
7,ENG,All_dip_Ger_Ita,2,1.0
8,AUS,All_dip_Ger_Ita,2,2.0
9,ITA,All_dip_Ger_Ita,2,0.0
10,FRA,All_dip_Ger_Ita,2,7.0
11,GER,All_dip_Ger_Ita,2,8.0
12,RUS,All_dip_Ger_Ita,2,4.0
13,TUR,All_dip_Ger_Ita,2,0.0
14,ENG,All_dip_Ger_Ita,3,5.0
15,AUS,All_dip_Ger_Ita,3,1.0
16,ITA,All_dip_Ger_Ita,3,3.0
17,FRA,All_dip_Ger_Ita,3,7.0
18,GER,All_dip_Ger_Ita,3,5.0
19,RUS,All_dip_Ger_Ita,3,7.0
20,TUR,All_dip_Ger_Ita,3,7.0
21,ENG,All_dip_Ger_Ita,4,72.0
22,AUS,All_dip_Ger_Ita,4,14.5
23,ITA,All_dip_Ger_Ita,4,0.0
24,FRA,All_dip_Ger_Ita,4,16.142857142857142
25,GER,All_dip_Ger_Ita,4,35.25
26,RUS,All_dip_Ger_Ita,4,16.25
27,TUR,All_dip_Ger_Ita,4,0.0
28,ENG,All_dip_Ger_Ita,5,100.0
29,AUS,All_dip_Ger_Ita,5,100.0
30,ITA,All_dip_Ger_Ita,5,100.0
31,FRA,All_dip_Ger_Ita,5,100.0
32,GER,All_dip_Ger_Ita,5,100.0
33,RUS,All_dip_Ger_Ita,5,100.0
34,TUR,All_dip_Ger_Ita,5,100.0
35,ENG,All_dip_Aus_Ita,1,7.0
36,AUS,All_dip_Aus_Ita,1,6.0
37,ITA,All_dip_Aus_Ita,1,7.0
38,FRA,All_dip_Aus_Ita,1,12.0
39,GER,All_dip_Aus_Ita,1,13.0
40,RUS,All_dip_Aus_Ita,1,10.0
41,TUR,All_dip_Aus_Ita,1,11.0
42,ENG,All_dip_Aus_Ita,2,1.0
43,AUS,All_dip_Aus_Ita,2,1.0
44,ITA,All_dip_Aus_Ita,2,1.0
45,FRA,All_dip_Aus_Ita,2,5.0
46,GER,All_dip_Aus_Ita,2,6.0
47,RUS,All_dip_Aus_Ita,2,5.0
48,TUR,All_dip_Aus_Ita,2,3.0
49,ENG,All_dip_Aus_Ita,3,6.0
50,AUS,All_dip_Aus_Ita,3,5.0
51,ITA,All_dip_Aus_Ita,3,6.0
52,FRA,All_dip_Aus_Ita,3,7.0
53,GER,All_dip_Aus_Ita,3,7.0
54,RUS,All_dip_Aus_Ita,3,5.0
55,TUR,All_dip_Aus_Ita,3,8.0
56,ENG,All_dip_Aus_Ita,4,14.0
57,AUS,All_dip_Aus_Ita,4,21.0
58,ITA,All_dip_Aus_Ita,4,13.0
59,FRA,All_dip_Aus_Ita,4,20.0
60,GER,All_dip_Aus_Ita,4,15.666666666666666
61,RUS,All_dip_Aus_Ita,4,17.0
62,TUR,All_dip_Aus_Ita,4,15.333333333333334
63,ENG,All_dip_Aus_Ita,5,100.0
64,AUS,All_dip_Aus_Ita,5,100.0
65,ITA,All_dip_Aus_Ita,5,100.0
66,FRA,All_dip_Aus_Ita,5,100.0
67,GER,All_dip_Aus_Ita,5,100.0
68,RUS,All_dip_Aus_Ita,5,100.0
69,TUR,All_dip_Aus_Ita,5,100.0
70,ENG,All_dip_Eng_Fra,1,12.0
71,AUS,All_dip_Eng_Fra,1,3.0
72,ITA,All_dip_Eng_Fra,1,10.0
73,FRA,All_dip_Eng_Fra,1,10.0
74,GER,All_dip_Eng_Fra,1,10.0
75,RUS,All_dip_Eng_Fra,1,13.0
76,TUR,All_dip_Eng_Fra,1,12.0
77,ENG,All_dip_Eng_Fra,2,6.0
78,AUS,All_dip_Eng_Fra,2,0.0
79,ITA,All_dip_Eng_Fra,2,2.0
80,FRA,All_dip_Eng_Fra,2,3.0
81,GER,All_dip_Eng_Fra,2,3.0
82,RUS,All_dip_Eng_Fra,2,4.0
83,TUR,All_dip_Eng_Fra,2,3.0
84,ENG,All_dip_Eng_Fra,3,6.0
85,AUS,All_dip_Eng_Fra,3,3.0
86,ITA,All_dip_Eng_Fra,3,8.0
87,FRA,All_dip_Eng_Fra,3,7.0
88,GER,All_dip_Eng_Fra,3,7.0
89,RUS,All_dip_Eng_Fra,3,9.0
90,TUR,All_dip_Eng_Fra,3,9.0
91,ENG,All_dip_Eng_Fra,4,18.166666666666668
92,AUS,All_dip_Eng_Fra,4,0.0
93,ITA,All_dip_Eng_Fra,4,12.0
94,FRA,All_dip_Eng_Fra,4,16.333333333333332
95,GER,All_dip_Eng_Fra,4,13.0
96,RUS,All_dip_Eng_Fra,4,29.25
97,TUR,All_dip_Eng_Fra,4,15.333333333333334
98,ENG,All_dip_Eng_Fra,5,100.0
99,AUS,All_dip_Eng_Fra,5,100.0
100,ITA,All_dip_Eng_Fra,5,100.0
101,FRA,All_dip_Eng_Fra,5,100.0
102,GER,All_dip_Eng_Fra,5,100.0
103,RUS,All_dip_Eng_Fra,5,100.0
104,TUR,All_dip_Eng_Fra,5,100.0
105,ENG,All_dip_Fra_Eng,1,2.0
106,AUS,All_dip_Fra_Eng,1,3.0
107,ITA,All_dip_Fra_Eng,1,7.0
108,FRA,All_dip_Fra_Eng,1,18.0
109,GER,All_dip_Fra_Eng,1,7.0
110,RUS,All_dip_Fra_Eng,1,7.0
111,TUR,All_dip_Fra_Eng,1,6.0
112,ENG,All_dip_Fra_Eng,2,0.0
113,AUS,All_dip_Fra_Eng,2,0.0
114,ITA,All_dip_Fra_Eng,2,3.0
115,FRA,All_dip_Fra_Eng,2,13.0
116,GER,All_dip_Fra_Eng,2,4.0
117,RUS,All_dip_Fra_Eng,2,3.0
118,TUR,All_dip_Fra_Eng,2,2.0
119,ENG,All_dip_Fra_Eng,3,2.0
120,AUS,All_dip_Fra_Eng,3,3.0
121,ITA,All_dip_Fra_Eng,3,4.0
122,FRA,All_dip_Fra_Eng,3,5.0
123,GER,All_dip_Fra_Eng,3,3.0
124,RUS,All_dip_Fra_Eng,3,4.0
125,TUR,All_dip_Fra_Eng,3,4.0
126,ENG,All_dip_Fra_Eng,4,0.0
127,AUS,All_dip_Fra_Eng,4,0.0
