,power,scenario,key,val
0,ENG,All_dip_np,1,6.0
1,AUS,All_dip_np,1,0.0
2,ITA,All_dip_np,1,49.0
3,FRA,All_dip_np,1,17.0
4,GER,All_dip_np,1,24.0
5,RUS,All_dip_np,1,4.0
6,TUR,All_dip_np,1,0.0
7,ENG,All_dip_np,2,6.0
8,AUS,All_dip_np,2,0.0
9,ITA,All_dip_np,2,49.0
10,FRA,All_dip_np,2,17.0
11,GER,All_dip_np,2,24.0
12,RUS,All_dip_np,2,4.0
13,TUR,All_dip_np,2,0.0
14,ENG,All_dip_np,3,0.0
15,AUS,All_dip_np,3,0.0
16,ITA,All_dip_np,3,0.0
17,FRA,All_dip_np,3,0.0
18,GER,All_dip_np,3,0.0
19,RUS,All_dip_np,3,0.0
20,TUR,All_dip_np,3,0.0
21,ENG,All_dip_np,4,16.0
22,AUS,All_dip_np,4,0.0
23,ITA,All_dip_np,4,13.306122448979592
24,FRA,All_dip_np,4,18.176470588235293
25,GER,All_dip_np,4,12.583333333333334
26,RUS,All_dip_np,4,16.25
27,TUR,All_dip_np,4,0.0
28,ENG,All_dip_np,5,0.0
29,AUS,All_dip_np,5,0.0
30,ITA,All_dip_np,5,0.0
31,FRA,All_dip_np,5,0.0
32,GER,All_dip_np,5,0.0
33,RUS,All_dip_np,5,0.0
34,TUR,All_dip_np,5,0.0
35,ENG,All_dip_Ger_Ita,1,8.0
36,AUS,All_dip_Ger_Ita,1,0.0
37,ITA,All_dip_Ger_Ita,1,41.0
38,FRA,All_dip_Ger_Ita,1,11.0
39,GER,All_dip_Ger_Ita,1,47.0
40,RUS,All_dip_Ger_Ita,1,11.0
41,TUR,All_dip_Ger_Ita,1,3.0
42,ENG,All_dip_Ger_Ita,2,8.0
43,AUS,All_dip_Ger_Ita,2,0.0
44,ITA,All_dip_Ger_Ita,2,41.0
45,FRA,All_dip_Ger_Ita,2,11.0
46,GER,All_dip_Ger_Ita,2,47.0
47,RUS,All_dip_Ger_Ita,2,11.0
48,TUR,All_dip_Ger_Ita,2,3.0
49,ENG,All_dip_Ger_Ita,3,0.0
50,AUS,All_dip_Ger_Ita,3,0.0
51,ITA,All_dip_Ger_Ita,3,0.0
52,FRA,All_dip_Ger_Ita,3,0.0
53,GER,All_dip_Ger_Ita,3,0.0
54,RUS,All_dip_Ger_Ita,3,0.0
55,TUR,All_dip_Ger_Ita,3,0.0
56,ENG,All_dip_Ger_Ita,4,16.125
57,AUS,All_dip_Ger_Ita,4,0.0
58,ITA,All_dip_Ger_Ita,4,12.804878048780488
59,FRA,All_dip_Ger_Ita,4,23.181818181818183
60,GER,All_dip_Ger_Ita,4,12.27659574468085
61,RUS,All_dip_Ger_Ita,4,15.636363636363637
62,TUR,All_dip_Ger_Ita,4,17.666666666666668
63,ENG,All_dip_Ger_Ita,5,0.0
64,AUS,All_dip_Ger_Ita,5,0.0
65,ITA,All_dip_Ger_Ita,5,0.0
66,FRA,All_dip_Ger_Ita,5,0.0
67,GER,All_dip_Ger_Ita,5,0.0
68,RUS,All_dip_Ger_Ita,5,0.0
69,TUR,All_dip_Ger_Ita,5,0.0
70,ENG,All_dip_Aus_Ita,1,1.0
71,AUS,All_dip_Aus_Ita,1,3.0
72,ITA,All_dip_Aus_Ita,1,34.0
73,FRA,All_dip_Aus_Ita,1,21.0
74,GER,All_dip_Aus_Ita,1,22.0
75,RUS,All_dip_Aus_Ita,1,6.0
76,TUR,All_dip_Aus_Ita,1,19.0
77,ENG,All_dip_Aus_Ita,2,0.0
78,AUS,All_dip_Aus_Ita,2,2.0
79,ITA,All_dip_Aus_Ita,2,33.0
