,power,scenario,key,val
0,ENG,dip_np,1,4.0
1,AUS,dip_np,1,4.0
2,ITA,dip_np,1,11.0
3,FRA,dip_np,1,9.0
4,GER,dip_np,1,13.0
5,RUS,dip_np,1,9.0
6,TUR,dip_np,1,4.0
7,ENG,dip_np,2,0.0
8,AUS,dip_np,2,2.0
9,ITA,dip_np,2,6.0
10,FRA,dip_np,2,4.0
11,GER,dip_np,2,9.0
12,RUS,dip_np,2,4.0
13,TUR,dip_np,2,0.0
14,ENG,dip_np,3,4.0
15,AUS,dip_np,3,2.0
16,ITA,dip_np,3,5.0
17,FRA,dip_np,3,5.0
18,GER,dip_np,3,4.0
19,RUS,dip_np,3,5.0
20,TUR,dip_np,3,4.0
21,ENG,dip_np,4,0.0
22,AUS,dip_np,4,18.0
23,ITA,dip_np,4,35.5
24,FRA,dip_np,4,20.5
25,GER,dip_np,4,30.333333333333332
26,RUS,dip_np,4,31.75
27,TUR,dip_np,4,0.0
28,ENG,dip_np,5,100.0
29,AUS,dip_np,5,100.0
30,ITA,dip_np,5,100.0
31,FRA,dip_np,5,100.0
32,GER,dip_np,5,100.0
33,RUS,dip_np,5,100.0
34,TUR,dip_np,5,100.0
35,ENG,Dip_rand,1,0.0
36,AUS,Dip_rand,1,30.0
37,ITA,Dip_rand,1,0.0
38,FRA,Dip_rand,1,0.0
39,GER,Dip_rand,1,0.0
40,RUS,Dip_rand,1,0.0
41,TUR,Dip_rand,1,0.0
42,ENG,Dip_rand,2,0.0
43,AUS,Dip_rand,2,30.0
44,ITA,Dip_rand,2,0.0
45,FRA,Dip_rand,2,0.0
46,GER,Dip_rand,2,0.0
47,RUS,Dip_rand,2,0.0
48,TUR,Dip_rand,2,0.0
49,ENG,Dip_rand,3,0.0
50,AUS,Dip_rand,3,0.0
51,ITA,Dip_rand,3,0.0
52,FRA,Dip_rand,3,0.0
53,GER,Dip_rand,3,0.0
54,RUS,Dip_rand,3,0.0
55,TUR,Dip_rand,3,0.0
56,ENG,Dip_rand,4,0.0
57,AUS,Dip_rand,4,5.766666666666667
58,ITA,Dip_rand,4,0.0
59,FRA,Dip_rand,4,0.0
60,GER,Dip_rand,4,0.0
61,RUS,Dip_rand,4,0.0
62,TUR,Dip_rand,4,0.0
63,ENG,Dip_rand,5,0.0
64,AUS,Dip_rand,5,0.0
65,ITA,Dip_rand,5,0.0
66,FRA,Dip_rand,5,0.0
67,GER,Dip_rand,5,0.0
68,RUS,Dip_rand,5,0.0
69,TUR,Dip_rand,5,0.0
