,power,scenario,key,val
0,ENG,All_dip_Tur_Eng,1,4.0
1,AUS,All_dip_Tur_Eng,1,1.0
2,ITA,All_dip_Tur_Eng,1,6.0
3,FRA,All_dip_Tur_Eng,1,6.0
4,GER,All_dip_Tur_Eng,1,2.0
5,RUS,All_dip_Tur_Eng,1,4.0
6,TUR,All_dip_Tur_Eng,1,4.0
7,ENG,All_dip_Tur_Eng,2,1.0
8,AUS,All_dip_Tur_Eng,2,0.0
9,ITA,All_dip_Tur_Eng,2,2.0
10,FRA,All_dip_Tur_Eng,2,2.0
11,GER,All_dip_Tur_Eng,2,1.0
12,RUS,All_dip_Tur_Eng,2,0.0
13,TUR,All_dip_Tur_Eng,2,0.0
14,ENG,All_dip_Tur_Eng,3,3.0
15,AUS,All_dip_Tur_Eng,3,1.0
16,ITA,All_dip_Tur_Eng,3,4.0
17,FRA,All_dip_Tur_Eng,3,4.0
18,GER,All_dip_Tur_Eng,3,1.0
19,RUS,All_dip_Tur_Eng,3,4.0
20,TUR,All_dip_Tur_Eng,3,4.0
21,ENG,All_dip_Tur_Eng,4,13.0
22,AUS,All_dip_Tur_Eng,4,0.0
23,ITA,All_dip_Tur_Eng,4,19.0
24,FRA,All_dip_Tur_Eng,4,12.5
25,GER,All_dip_Tur_Eng,4,16.0
26,RUS,All_dip_Tur_Eng,4,0.0
27,TUR,All_dip_Tur_Eng,4,0.0
28,ENG,All_dip_Tur_Eng,5,100.0
29,AUS,All_dip_Tur_Eng,5,100.0
30,ITA,All_dip_Tur_Eng,5,100.0
31,FRA,All_dip_Tur_Eng,5,100.0
32,GER,All_dip_Tur_Eng,5,100.0
33,RUS,All_dip_Tur_Eng,5,100.0
34,TUR,All_dip_Tur_Eng,5,100.0
35,ENG,All_dip_Fra_Rus,1,12.0
36,AUS,All_dip_Fra_Rus,1,14.0
37,ITA,All_dip_Fra_Rus,1,24.0
38,FRA,All_dip_Fra_Rus,1,64.0
39,GER,All_dip_Fra_Rus,1,29.0
40,RUS,All_dip_Fra_Rus,1,19.0
41,TUR,All_dip_Fra_Rus,1,19.0
42,ENG,All_dip_Fra_Rus,2,1.0
43,AUS,All_dip_Fra_Rus,2,3.0
44,ITA,All_dip_Fra_Rus,2,6.0
45,FRA,All_dip_Fra_Rus,2,45.0
46,GER,All_dip_Fra_Rus,2,19.0
47,RUS,All_dip_Fra_Rus,2,3.0
48,TUR,All_dip_Fra_Rus,2,3.0
49,ENG,All_dip_Fra_Rus,3,11.0
50,AUS,All_dip_Fra_Rus,3,11.0
51,ITA,All_dip_Fra_Rus,3,18.0
52,FRA,All_dip_Fra_Rus,3,19.0
53,GER,All_dip_Fra_Rus,3,10.0
54,RUS,All_dip_Fra_Rus,3,16.0
55,TUR,All_dip_Fra_Rus,3,16.0
56,ENG,All_dip_Fra_Rus,4,11.0
57,AUS,All_dip_Fra_Rus,4,18.0
58,ITA,All_dip_Fra_Rus,4,12.166666666666666
59,FRA,All_dip_Fra_Rus,4,19.177777777777777
60,GER,All_dip_Fra_Rus,4,20.42105263157895
61,RUS,All_dip_Fra_Rus,4,50.333333333333336
62,TUR,All_dip_Fra_Rus,4,29.666666666666668
63,ENG,All_dip_Fra_Rus,5,100.0
64,AUS,All_dip_Fra_Rus,5,100.0
65,ITA,All_dip_Fra_Rus,5,100.0
66,FRA,All_dip_Fra_Rus,5,100.0
67,GER,All_dip_Fra_Rus,5,100.0
68,RUS,All_dip_Fra_Rus,5,100.0
69,TUR,All_dip_Fra_Rus,5,100.0
70,ENG,All_dip_Eng_Rus,1,21.0
71,AUS,All_dip_Eng_Rus,1,6.0
72,ITA,All_dip_Eng_Rus,1,27.0
73,FRA,All_dip_Eng_Rus,1,52.0
74,GER,All_dip_Eng_Rus,1,31.0
75,RUS,All_dip_Eng_Rus,1,21.0
76,TUR,All_dip_Eng_Rus,1,26.0
77,ENG,All_dip_Eng_Rus,2,8.0
78,AUS,All_dip_Eng_Rus,2,0.0
79,ITA,All_dip_Eng_Rus,2,12.0
80,FRA,All_dip_Eng_Rus,2,33.0
81,GER,All_dip_Eng_Rus,2,15.0
82,RUS,All_dip_Eng_Rus,2,4.0
83,TUR,All_dip_Eng_Rus,2,8.0
84,ENG,All_dip_Eng_Rus,3,13.0
85,AUS,All_dip_Eng_Rus,3,6.0
86,ITA,All_dip_Eng_Rus,3,15.0
87,FRA,All_dip_Eng_Rus,3,19.0
88,GER,All_dip_Eng_Rus,3,16.0
89,RUS,All_dip_Eng_Rus,3,17.0
90,TUR,All_dip_Eng_Rus,3,18.0
91,ENG,All_dip_Eng_Rus,4,18.125
92,AUS,All_dip_Eng_Rus,4,0.0
93,ITA,All_dip_Eng_Rus,4,17.25
94,FRA,All_dip_Eng_Rus,4,24.757575757575758
95,GER,All_dip_Eng_Rus,4,20.266666666666666
96,RUS,All_dip_Eng_Rus,4,33.5
97,TUR,All_dip_Eng_Rus,4,27.125
98,ENG,All_dip_Eng_Rus,5,100.0
99,AUS,All_dip_Eng_Rus,5,100.0
100,ITA,All_dip_Eng_Rus,5,100.0
101,FRA,All_dip_Eng_Rus,5,100.0
102,GER,All_dip_Eng_Rus,5,100.0
103,RUS,All_dip_Eng_Rus,5,100.0
104,TUR,All_dip_Eng_Rus,5,100.0
