,power,scenario,key,val
127,AUS,Aus_Ita_LSP,4,31.84090909090909
128,ITA,Aus_Ita_LSP,4,60.111111111111114
129,FRA,Aus_Ita_LSP,4,0.0
130,GER,Aus_Ita_LSP,4,0.0
131,RUS,Aus_Ita_LSP,4,71.0
132,TUR,Aus_Ita_LSP,4,0.0
133,ENG,Aus_Ita_LSP,5,0.0
134,AUS,Aus_Ita_LSP,5,100.0
135,ITA,Aus_Ita_LSP,5,100.0
136,FRA,Aus_Ita_LSP,5,100.0
137,GER,Aus_Ita_LSP,5,0.0
138,RUS,Aus_Ita_LSP,5,100.0
139,TUR,Aus_Ita_LSP,5,100.0
140,ENG,Eng_Fra_LSP,1,6.0
141,AUS,Eng_Fra_LSP,1,6.0
142,ITA,Eng_Fra_LSP,1,1.0
143,FRA,Eng_Fra_LSP,1,97.0
144,GER,Eng_Fra_LSP,1,2.0
145,RUS,Eng_Fra_LSP,1,2.0
146,TUR,Eng_Fra_LSP,1,6.0
147,ENG,Eng_Fra_LSP,2,0.0
148,AUS,Eng_Fra_LSP,2,2.0
149,ITA,Eng_Fra_LSP,2,0.0
150,FRA,Eng_Fra_LSP,2,91.0
151,GER,Eng_Fra_LSP,2,0.0
152,RUS,Eng_Fra_LSP,2,1.0
153,TUR,Eng_Fra_LSP,2,0.0
154,ENG,Eng_Fra_LSP,3,6.0
155,AUS,Eng_Fra_LSP,3,4.0
156,ITA,Eng_Fra_LSP,3,1.0
157,FRA,Eng_Fra_LSP,3,6.0
158,GER,Eng_Fra_LSP,3,2.0
159,RUS,Eng_Fra_LSP,3,1.0
160,TUR,Eng_Fra_LSP,3,6.0
161,ENG,Eng_Fra_LSP,4,0.0
162,AUS,Eng_Fra_LSP,4,65.0
163,ITA,Eng_Fra_LSP,4,0.0
164,FRA,Eng_Fra_LSP,4,45.16483516483517
165,GER,Eng_Fra_LSP,4,0.0
166,RUS,Eng_Fra_LSP,4,33.0
167,TUR,Eng_Fra_LSP,4,0.0
168,ENG,Eng_Fra_LSP,5,100.0
